Phyla,Species,antimicrobial-resistance,Biofilm-formation,Human-pathogenicity,Thermophile,Radiation-resistance,Spore-formation
Ascomycota,Cucurbitaria berberidis CBS 394.84,0,0,0,1,0,0
Ascomycota,Cyberlindnera jadinii NRRL Y 1542,0,0,0,0,0,0
Ascomycota,Cyphellophora europaea CBS 101466,0,0,0,1,0,0
Ascomycota,Dactylellina haptotyla CBS 200.50,0,0,0,0,0,0
Ascomycota,Debaryomyces hansenii CBS767,0,1,0,0,0,0
Ascomycota,Delitschia confertaspora ATCC 74209,0,0,0,0,0,0
Basidiomycota,Dendrothele bispora CBS 962.96,0,1,0,0,0,0
Ascomycota,Didymella exigua CBS 183.55,0,0,0,0,0,0
Basidiomycota,Dioszegia hungarica 24b 2 Genome annotation (Wed Jul 07 08:52:36 UTC 2021),0,0,0,0,0,0
Ascomycota,Dissoconium aciculare CBS 342.82,0,0,0,0,0,0
Ascomycota,Dothidotthia symphoricarpi CBS 119687,0,0,0,1,0,0
Microsporidia,Encephalitozoon hellem ATCC 50504,0,0,0,0,0,0
Ascomycota,Eremomyces bilateralis CBS 781.70,0,0,0,0,0,0
Ascomycota,Eremothecium gossypii ATCC 10895,0,0,0,0,1,0
Basidiomycota,Erythrobasidium hasegawianum ATCC 9536 (P36),0,0,0,0,0,0
Ascomycota,Exophiala aquamarina CBS 119918,0,0,0,1,0,0
Basidiomycota,Fellomyces polyborus UCDFST 54 35,0,0,0,0,0,0
Mucoromycota,Fennellomyces linderi CBS 158.54,0,0,0,0,0,0
Basidiomycota,Fibularhizoctonia sp. CBS 109695,0,0,0,0,0,0
Basidiomycota,Fistulina hepatica ATCC 64428,0,0,0,0,0,0
Ascomycota,Fonsecaea multimorphosa CBS 102226,0,0,0,0,0,0
Ascomycota,Fonsecaea pedrosoi CBS 271.37,0,0,0,1,0,0
Ascomycota,Fusarium concolor NRRL 13459,0,0,0,1,0,0
Ascomycota,Fusarium odoratissimum NRRL 54006,0,0,0,0,0,0
Ascomycota,Fusarium oxysporum NRRL 32931,0,0,0,0,0,0
Ascomycota,Fusarium redolens CORFU0003,0,0,0,1,0,0
Ascomycota,Fusarium sp. NRRL 52700,0,0,0,0,0,0
Ascomycota,Fusarium oxysporum,0,0,0,1,0,0
Basidiomycota,Galerina marginata CBS 339.88,0,0,0,0,0,0
Ascomycota,Glarea lozoyensis ATCC 20868,0,0,0,1,0,0
Basidiomycota,Gloeophyllum trabeum ATCC 11539,0,0,0,0,0,0
Mucoromycota,Gongronella butleri CBS 227.36+,0,0,0,0,0,0
Ascomycota,Hanseniaspora guilliermondii UTAD222,0,0,0,0,0,0
Ascomycota,Hanseniaspora opuntiae AWRI3578,0,0,0,0,0,0
Ascomycota,Hanseniaspora osmophila AWRI3579,0,0,0,0,1,0
Ascomycota,Hanseniaspora uvarum DSM 2768,0,0,0,0,0,0
Ascomycota,Hanseniaspora valbyensis HY1,0,0,0,0,0,0
Ascomycota,Hapsidospora chrysogenum ATCC 11550,0,0,0,0,0,0
Ascomycota,Humicola hyalothermophila CBS 45480,0,0,0,1,0,0
Ascomycota,Hyphopichia burtonii NRRL Y 1933,1,1,0,0,0,0
Ascomycota,Karstenula rhodostoma CBS 690.94,0,0,0,1,0,0
Ascomycota,Kazachstania africana CBS 2517,0,1,0,0,1,0
Ascomycota,Kazachstania naganishii CBS 8797,0,0,0,0,1,0
Ascomycota,Kluyveromyces dobzhanskii CBS 2104,0,1,0,0,1,0
Ascomycota,Kluyveromyces africanus,0,1,0,0,1,0
Ascomycota,Kluyveromyces polysporus,0,1,0,0,1,0
Ascomycota,Komagataella phaffii CBS 7435,0,1,0,0,1,0
Ascomycota,Kuraishia capsulata CBS 1993,0,1,0,0,1,0
Basidiomycota,Kwoniella bestiolae CBS 10118,0,0,0,0,0,0
Basidiomycota,Kwoniella dejecticola CBS 10117,0,0,0,0,0,0
Basidiomycota,Kwoniella heveanensis CBS 569,0,0,0,0,0,0
Basidiomycota,Kwoniella mangroviensis CBS 10435,0,0,0,0,0,0
Basidiomycota,Kwoniella pini CBS 10737,0,0,0,0,0,0
Ascomycota,Lachancea meyersii CBS 8951,0,0,0,0,1,0
Ascomycota,Lachancea nothofagi CBS 11611,0,1,0,0,1,0
Ascomycota,Lentithecium fluviatile CBS 122367,0,0,0,1,0,0
Ascomycota,Lepidopterella palustris CBS 459.81,0,0,0,1,0,0
Basidiomycota,Leucosporidium scottii UCDFST 62 1032,0,0,0,0,0,0
Mucoromycota,Lichtheimia corymbifera JMRC:FSU:9682,0,0,0,0,0,0
Ascomycota,Lipomyces tetrasporus NRRL Y 8875,0,0,0,1,0,0
Ascomycota,Lodderomyces elongisporus NRRL YB 4239,1,0,0,0,0,0
Ascomycota,Lophiostoma macrostomum CBS 122681,0,0,0,1,0,0
Ascomycota,Magnaporthiopsis poae ATCC 64411,0,0,0,1,0,0
Basidiomycota,Malassezia globosa CBS 7966,0,0,0,0,0,0
Basidiomycota,Malassezia restricta CBS 7877,0,0,0,0,0,0
Basidiomycota,Malassezia sp. CBS 17886,0,0,0,0,0,0
Basidiomycota,Malassezia sympodialis ATCC 42132,0,0,0,0,0,0
Ascomycota,Massarina eburnea CBS 473.64,0,0,0,1,0,0
Ascomycota,Melanomma pulvis pyrius CBS 109.77,0,0,0,1,0,0
Ascomycota,Metschnikowia bicuspidata var. bicuspidata NRRL YB 4993,0,1,0,0,0,0
Ascomycota,Metschnikowia gruessii VY0332,0,1,0,0,0,0
Ascomycota,Metschnikowia pulcherrima NRRL Y 7111,0,1,0,1,1,0
Ascomycota,Microsporum canis CBS 113480,0,0,0,1,0,0
Ascomycota,Millerozyma farinosa CBS 7064,0,1,0,0,1,0
Ascomycota,Millerozyma farinosa,0,1,0,0,1,0
Basidiomycota,Moesziomyces aphidis DSM 70725,0,0,0,0,0,0
Basidiomycota,Mrakia frigida ATCC 22029,0,0,0,0,0,0
Mucoromycota,Mucor fuscus,0,0,0,0,0,0
Mucoromycota,Mucor lusitanicus CBS 277.49,0,0,0,0,0,0
Mucoromycota,Mucor racemosus,0,0,0,0,0,0
Basidiomycota,Mycena galopus ATCC 62051,0,0,0,0,0,0
Mucoromycota,Mycotypha africana NRRL 2978,0,0,0,0,0,0
Ascomycota,Myriangium duriaei CBS 260.36,0,0,0,1,0,0
Ascomycota,Nadsonia fulvescens var. elongata DSM 6958,0,0,0,0,0,0
Ascomycota,Nannizzia gypsea CBS 118893,0,0,0,1,0,1
Ascomycota,Neosartorya fischeri NRRL 181,0,0,0,1,0,0
Ascomycota,Ogataea boidinii,0,1,0,0,1,0
Ascomycota,Ogataea philodendri,0,1,0,0,0,0
Ascomycota,Orbilia oligospora ATCC 24927,0,0,0,0,0,0
Ascomycota,Pachysolen tannophilus NRRL Y 2460,0,1,0,0,0,0
Ascomycota,Paecilomyces lilacinus,0,0,0,1,0,1
Ascomycota,Paraconiothyrium sporulosum AP3s5 JAC2a,0,0,0,1,0,0
Ascomycota,Patellaria atrata CBS 101060,0,0,0,1,0,0
Basidiomycota,Paxillus involutus ATCC 200175,0,0,0,0,0,0
Ascomycota,Penicilliopsis zonata CBS 506.65,0,0,0,1,0,0
Ascomycota,"Penicillium canescens, ATCC 10419",0,0,0,1,0,1
Ascomycota,Penicillium commune ITEM 5150,0,0,0,1,0,0
Ascomycota,Penicillium nalgiovense FM193,0,0,0,1,0,0
Ascomycota,Penicillium capsulatum,0,0,0,1,0,0
Ascomycota,Penicillium daleae,0,0,0,1,0,0
Ascomycota,Peterozyma xylosa NRRL Y 12939,0,0,0,0,0,0
Ascomycota,Phialemonium thermophilum ATCC 24622,0,0,0,1,0,0
Mucoromycota,Phycomyces blakesleeanus NRRL 1555( ),0,0,0,0,0,0
Ascomycota,Pichia kudriavzevii CBS573,0,0,0,0,0,0
Ascomycota,Pichia membranifaciens NRRL Y 2026,0,1,0,0,0,0
Ascomycota,Piedraia hortae CBS 480.64,0,0,0,1,0,0
Ascomycota,Pleomassaria siparia CBS 279.74,0,0,0,1,0,0
Mucoromycota,Podila verticillata NRRL 6337,0,0,0,0,0,0
Ascomycota,Polychaeton citri CBS 116435,0,0,0,0,0,0
Basidiomycota,Pseudozyma aphidis,0,0,0,0,0,0
Ascomycota,Pyrenochaeta lycopersici MPI SDFR AT 0127 v1.0,0,0,0,1,0,0
Ascomycota,Pyricularia sp. CBS 133598,0,0,0,0,0,0
Ascomycota,Pyronema omphalodes CBS 100304,0,0,0,0,0,0
Ascomycota,Rasamsonia emersonii CBS 393.64,0,0,0,1,0,0
Ascomycota,Rhinocladiella mackenziei CBS 650.93,0,0,0,0,0,0
Mucoromycota,Rhizopus microsporus ATCC 52813,0,0,0,0,0,0
Basidiomycota,Rhodosporidium toruloides,0,0,0,0,0,0
Ascomycota,Saccharata proteae CBS 121410,0,0,0,1,0,0
Ascomycota,Saccharomyces cerevisiae S288C,0,0,0,0,1,0
Ascomycota,Saccharomyces kudriavzevii IFO 1802,0,0,0,0,1,0
Ascomycota,Saccharomyces mikatae IFO 1815,0,0,0,0,1,0
Ascomycota,Saccharomyces bayanus,0,0,0,0,1,0
Ascomycota,Saccharomyces cerevisiae,0,0,0,0,0,0
Ascomycota,Saccharomyces paradoxus,0,0,0,0,0,0
Ascomycota,Saccharomyces pastorianus,0,0,0,1,1,0
Ascomycota,Saitoella complicata NRRL Y 17804,0,0,0,0,0,0
Ascomycota,Sarocladium strictum UNK,0,0,0,1,0,0
Ascomycota,Scheffersomyces stipitis CBS 6054,1,0,0,0,0,0
Ascomycota,Scheffersomyces stipitis NRRL Y 7124T,1,0,0,0,0,0
Ascomycota,Schizosaccharomyces japonicus,0,0,0,0,0,0
Ascomycota,Spathaspora passalidarum NRRL Y 27907,1,1,0,0,0,0
Ascomycota,Sporormia fimetaria CBS 119925,0,0,0,1,0,0
Ascomycota,Sporothrix schenckii ATCC 58251,0,0,0,1,0,0
Ascomycota,Suhomyces tanzawaensis NRRL Y 17324,0,1,0,0,0,0
Ascomycota,Talaromyces marneffei ATCC 18224,0,0,0,1,0,0
Ascomycota,Talaromyces emersonii,0,0,0,1,0,0
Ascomycota,Talaromyces stipitatus,0,0,0,1,0,0
Ascomycota,Terfezia boudieri ATCC MYA 4762,0,0,0,0,0,0
Ascomycota,Tetrapisispora blattae CBS 6284,0,0,0,0,1,0
Ascomycota,Tetrapisispora phaffii CBS 4417,0,0,0,0,1,0
Ascomycota,Thermoascus crustaceus CBS 18167,0,0,0,1,0,0
Ascomycota,Thermochaetoides thermophila DSM 1495,0,0,0,1,0,0
Ascomycota,Thermothelomyces hinnuleus ATCC 52474,0,0,0,1,0,0
Ascomycota,Thermothelomyces thermophilus ATCC 42464,0,0,0,0,0,0
Ascomycota,Thermothielavioides terrestris NRRL 8126,0,0,0,1,0,0
Basidiomycota,Tilletiopsis washingtonensis MCA 4186 v1.0,0,0,0,0,0,0
Ascomycota,Tortispora caseinolytica NRRL Y 17796,0,0,0,0,0,0
Ascomycota,Torulaspora sp. CBS 2947,0,1,0,0,1,0
Ascomycota,Torulaspora delbrueckii,0,1,0,0,1,0
Basidiomycota,Tremella mesenterica DSM 1558,0,0,0,0,0,0
Ascomycota,Trichoderma asperellum CBS 433.97,0,0,0,0,0,0
Ascomycota,Trichoderma harzianum CBS 226.95,0,0,0,0,0,0
Ascomycota,Trichoderma longibrachiatum ATCC 18648,0,0,0,0,0,0
Ascomycota,Trichophyton benhamiae CBS 112371,0,0,0,1,0,0
Ascomycota,Trichophyton equinum CBS 127.97,0,0,0,1,0,0
Ascomycota,Trichophyton rubrum CBS 100081,0,0,0,1,0,1
Ascomycota,Trichophyton soudanense CBS 452.61,0,0,0,1,0,1
Ascomycota,Trichophyton tonsurans CBS 112818,0,0,0,1,0,0
Ascomycota,Trichosporon asahii var. asahii CBS 2479,0,0,0,0,0,0
Basidiomycota,Trichosporon oleaginosus IBC0246,0,0,0,0,0,0
Ascomycota,Vanderwaltozyma polyspora,0,1,0,0,1,0
Microsporidia,Vittaforma corneae ATCC 50505,0,0,0,0,0,0
Basidiomycota,Wallemia mellicola CBS 633.66,0,0,0,0,0,0
Basidiomycota,Wallemia sebi CBS 633.66,0,1,0,0,0,0
Ascomycota,Wickerhamomyces anomalus NRRL Y 366 8,1,1,0,0,0,0
Ascomycota,Wilcoxina mikolae CBS 423.85,0,0,0,0,0,0
Ascomycota,Xylaria sp. CBS 124048,0,0,0,0,0,0
Ascomycota,Yamadazyma tenuis,0,0,0,0,0,0
Ascomycota,Zasmidium cellare ATCC 36951,0,0,0,0,0,0
Ascomycota,Zopfia rhizophila CBS 207.26,0,0,0,0,0,0
Ascomycota,Zygosaccharomyces rouxii,0,1,0,0,1,0
Ascomycota,Candida arabinofermentans NRRL YB 2248,0,1,0,0,0,0
Mucoromycota,Absidia glauca,0,0,0,0,0,0
Basidiomycota,Acaromyces ingoldii,0,0,0,0,0,0
Glomeromycota,Acaulospora colombiana,0,0,0,0,0,0
Glomeromycota,Acaulospora morrowiae,0,0,0,1,0,0
Ascomycota,Achaetomium macrosporum,0,0,0,1,0,0
Ascomycota,Acidomyces richmondensis,0,0,0,1,0,0
Ascomycota,Acidomyces sp.,0,0,0,1,0,0
Ascomycota,Acremonium chrysogenum,0,0,0,1,0,1
Ascomycota,Acrodontium crateriforme,0,0,0,1,0,0
Mucoromycota,Actinomortierella ambigua,0,0,0,0,0,0
Basidiomycota,Agaricus bisporus,0,0,0,0,0,0
Basidiomycota,Agrocybe chaxingu,0,0,0,0,0,0
Basidiomycota,Agrocybe pediades,0,0,0,0,0,0
Ascomycota,Ajellomyces capsulatus,0,0,0,1,0,0
Ascomycota,Ajellomyces dermatitidis,0,0,0,1,0,0
Ascomycota,Akanthomyces lecanii,0,0,0,1,0,0
Ascomycota,Akanthomyces muscarius,0,0,0,1,0,0
Ascomycota,Alectoria fallacina,0,0,0,1,0,0
Ascomycota,Alectoria sarmentosa,0,0,0,1,0,0
Blastocladiomycota,Allomyces macrogynus,0,0,0,0,0,0
Ascomycota,Alternaria alternata,0,0,0,1,0,0
Ascomycota,Alternaria arborescens,0,0,0,0,0,0
Ascomycota,Alternaria atra,0,0,0,1,0,0
Ascomycota,Alternaria burnsii,0,0,0,1,0,0
Ascomycota,Alternaria gaisen,0,0,0,1,0,0
Ascomycota,Alternaria panax,0,0,0,1,0,0
Ascomycota,Alternaria sp.,0,0,0,1,0,0
Ascomycota,Alternaria tenuissima,0,0,0,1,0,0
Basidiomycota,Amanita muscaria,0,1,0,0,0,0
Basidiomycota,Amanita thiersii,0,0,0,0,0,0
Glomeromycota,Ambispora gerdemannii,0,0,0,1,0,0
Glomeromycota,Ambispora leptoticha,0,0,0,1,0,0
Ascomycota,Ambrosiozyma monospora,0,1,0,0,0,0
Ascomycota,Ampelomyces quisqualis,0,0,0,1,0,0
Microsporidia,Amphiamblys sp.,0,0,0,0,0,0
Ascomycota,Amylocarpus encephaloides,0,0,0,1,0,0
Neocallimastigomycota,Anaeromyces robustus,0,0,0,0,0,0
Microsporidia,Anncaliia algerae,0,0,0,0,0,0
Ascomycota,Annulohypoxylon stygium,0,0,0,1,0,0
Ascomycota,Anthostomella pinea,0,0,0,1,0,0
Basidiomycota,Anthracocystis flocculosa,0,0,0,0,0,0
Basidiomycota,Antrodiella citrinella,0,0,0,0,0,0
Ascomycota,Apiosordaria backusii,0,0,0,1,0,0
Ascomycota,Apiospora kogelbergensis,0,0,0,1,0,0
Basidiomycota,Apiotrichum porosum,0,0,0,0,0,0
Ascomycota,Apodospora peruviana,0,0,0,1,0,0
Mucoromycota,Apophysomyces ossiformis,0,0,0,0,0,0
Mucoromycota,Apophysomyces sp.,0,0,0,0,0,0
Ascomycota,Arachnomyces sp.,0,0,0,1,0,0
Basidiomycota,Armillaria borealis,0,0,0,0,0,0
Basidiomycota,Armillaria gallica,0,0,0,0,0,0
Basidiomycota,Armillaria luteobubalina,0,0,0,0,0,0
Basidiomycota,Armillaria novae zelandiae,0,0,0,0,0,0
Basidiomycota,Armillaria ostoyae,0,0,0,0,0,0
Basidiomycota,Armillaria solidipes,0,1,0,0,0,0
Basidiomycota,Armillaria tabescens,0,0,0,0,0,0
Ascomycota,Arthrobotrys conoides,0,0,0,1,0,0
Ascomycota,Arthrobotrys dactyloides,0,0,0,1,0,0
Ascomycota,Arthrobotrys flagrans,0,0,0,1,0,0
Ascomycota,Arthrobotrys musiformis,0,0,0,1,0,0
Ascomycota,Arthrobotrys oligospora,0,0,0,1,0,0
Ascomycota,Arthroderma benhamiae,0,0,0,1,1,0
Ascomycota,Arthroderma gypseum,0,0,0,1,0,1
Ascomycota,Arthroderma otae,0,0,0,1,0,0
Ascomycota,Arthroderma sp.,0,0,0,1,0,0
Basidiomycota,Artomyces pyxidatus,0,0,0,0,0,0
Ascomycota,Arxiozyma heterogenica,0,1,0,1,1,0
Ascomycota,Ascobolus immersus,0,0,0,1,0,0
Ascomycota,Ascochyta lentis,0,0,0,1,0,0
Ascomycota,Ascochyta rabiei,0,0,0,1,0,0
Ascomycota,Ascodesmis nigricans,0,0,0,1,0,0
Ascomycota,Ascosphaera apis,0,0,0,1,0,0
Ascomycota,Ashbya aceri,0,1,0,1,1,0
Ascomycota,Aspergillus arachidicola,0,0,0,1,0,0
Ascomycota,Aspergillus avenaceus,0,0,0,1,0,0
Ascomycota,Aspergillus awamori,0,0,0,1,0,0
Ascomycota,Aspergillus bertholletiae,0,0,0,1,0,0
Ascomycota,Aspergillus bombycis,0,0,0,1,0,0
Ascomycota,Aspergillus caelatus,0,0,0,1,0,0
Ascomycota,Aspergillus calidoustus,0,1,0,1,0,1
Ascomycota,Aspergillus campestris,0,0,0,1,0,0
Ascomycota,Aspergillus candidus,0,0,0,1,0,0
Ascomycota,Aspergillus carbonarius,0,0,0,1,0,0
Ascomycota,Aspergillus chevalieri,0,0,0,1,0,0
Ascomycota,Aspergillus coremiiformis,0,0,0,1,0,0
Ascomycota,Aspergillus cristatus,0,0,0,1,0,0
Ascomycota,Aspergillus felis,0,0,0,1,0,0
Ascomycota,Aspergillus fischeri,0,0,0,1,0,0
Ascomycota,Aspergillus fumigatiaffinis,0,0,0,1,0,0
Ascomycota,Aspergillus hiratsukae,0,0,0,1,0,0
Ascomycota,Aspergillus kawachii,0,0,0,1,0,0
Ascomycota,Aspergillus lacticoffeatus,0,0,0,1,0,1
Ascomycota,Aspergillus lentulus,0,0,0,0,0,0
Ascomycota,Aspergillus leporis,0,0,0,1,0,0
Ascomycota,Aspergillus melleus,0,0,0,1,0,0
Ascomycota,Aspergillus minisclerotigenes,0,0,0,1,1,0
Ascomycota,Aspergillus mulundensis,0,0,0,1,0,1
Ascomycota,Aspergillus nanangensis,0,0,0,1,0,0
Ascomycota,Aspergillus nidulans,0,0,0,1,0,1
Ascomycota,Aspergillus novofumigatus,0,0,0,1,0,0
Ascomycota,Aspergillus novoparasiticus,0,0,0,1,0,0
Ascomycota,Aspergillus ochraceoroseus,0,0,0,1,0,1
Ascomycota,Aspergillus oryzae,0,0,0,1,0,0
Ascomycota,Aspergillus parasiticus,0,0,0,1,0,0
Ascomycota,Aspergillus pseudocaelatus,0,0,0,1,0,0
Ascomycota,Aspergillus pseudonomiae,0,0,0,1,0,0
Ascomycota,Aspergillus pseudotamarii,0,0,0,1,0,0
Ascomycota,Aspergillus pseudoviridinutans,0,0,0,0,0,0
Ascomycota,Aspergillus puulaauensis,0,0,0,1,0,1
Ascomycota,Aspergillus rambellii,0,0,0,1,0,1
Ascomycota,Aspergillus saccharolyticus,0,0,0,1,0,0
Ascomycota,Aspergillus sclerotialis,0,0,0,1,0,0
Ascomycota,Aspergillus sergii,0,0,0,1,0,0
Ascomycota,Aspergillus sp.,0,0,0,1,0,0
Ascomycota,Aspergillus steynii,0,0,0,1,0,1
Ascomycota,Aspergillus taichungensis,0,0,0,1,0,0
Ascomycota,Aspergillus tamarii,0,0,0,1,0,0
Ascomycota,Aspergillus tanneri,0,0,0,1,0,1
Ascomycota,Aspergillus terreus,0,0,0,1,0,1
Ascomycota,Aspergillus thermomutatus,0,0,0,1,0,0
Ascomycota,Aspergillus transmontanensis,0,0,0,1,0,0
Ascomycota,Aspergillus turcosus,0,0,0,1,0,0
Ascomycota,Aspergillus udagawae,0,0,0,1,0,0
Ascomycota,Aspergillus ustus,0,0,0,0,0,0
Ascomycota,Aspergillus viridinutans,0,0,0,1,0,0
Ascomycota,Aspergillus welwitschiae,0,0,0,1,0,1
Ascomycota,Aspergillus wentii,0,0,0,1,0,0
Basidiomycota,Asterophora parasitica,0,0,0,0,0,0
Basidiomycota,Athelia sp.,0,0,0,1,0,0
Ascomycota,Aureobasidium melanogenum,0,0,0,1,0,0
Ascomycota,Aureobasidium mustum,0,0,0,1,0,0
Ascomycota,Aureobasidium pullulans,0,0,0,1,0,0
Ascomycota,Aureobasidium sp.,0,0,0,1,0,0
Ascomycota,Aureobasidium subglaciale,0,0,0,1,0,0
Ascomycota,Aureobasidium uvarum,0,0,0,1,0,0
Ascomycota,Aureobasidium vineae,0,0,0,1,0,0
Basidiomycota,Auricularia subglabra,0,0,0,0,0,0
Basidiomycota,Auriculariales sp.,0,0,0,0,0,0
Basidiomycota,Auriscalpium vulgare,0,0,0,1,0,0
Ascomycota,Australozyma saopauloensis,0,1,0,1,1,0
Basidiomycota,Austropuccinia psidii,0,0,0,0,0,0
Chytridiomycota,Batrachochytrium dendrobatidis,0,0,0,0,0,0
